文本,价格,外观,质量
包装 完好 东西 物美价廉 惊喜 颜色 喜欢 容量 足够 炖 至少 五六个 喝 用过 三次 炖 味道 电压 锅香 煮粥 火陶气 感觉 蒸发掉 太多水 水开 挺快 满意 满意 满意 尺寸 建议 购买 买 装 ,1,1,1
不错 很快 水 烧开 熬粥 煮汤 不错 选择 颜值 高 ,0,1,1
买大 煲汤 炖 猪脚 两人用 买 小点 京东 物流 很快 第二天 煮粥 煲汤 ,0,1,0
外观 包装 不错   美观 程度 简约 大方   瓷质 效果 不错   商品 汤勺 勺子 日常 足够 ,0,1,1
办公 补水 造型 颜色 不错 ,0,1,0
质量 过关 品质 保障 不错 选择 帮 朋友 买 不错 推荐 购买 下手 价格 ,1,0,1
速度 质量 信任 京东 自营 产品 谢谢 京东 ,0,0,1
碗碟 质量 做工 精致 花纹 好看 入手 一套 一家 四口 ,0,1,1
套装 不错 六个 碗 六个 盘子   一家 三口 足够 价格 挺 实惠 性价比 高 做工 造型 挺 符合 心意 回购 ,1,1,1
外观 包装 完整无缺   美观 程度 很漂亮   体验 喜欢 饭碗 有层 抓住 掉 防烫 喜欢 件套   颜色 好看 好评 ,0,1,1
适合 摆放 陈列架 整体 器型 大方 简洁 视觉效果 品相 不错 工艺 做 评价 懂 摆着 观赏 足够 ,0,1,1
经济 实惠 便宜 实惠 五星 好评 ,1,0,0
质量 太 喜欢 设计 特别 科学 特别 顺手 瓷 光滑 细腻 确实 一分钱 一分货 卖家 特别 提前 说 盘子 稳 送 脚垫 到货 我试 脚垫 稳 卖家 自我 极高 贴 脚垫 更稳 防滑 太赞 ,1,0,1
", 颜色 很正 碗 厚实 买 十 ニ , 不大不小 刚刚 六碗 汤 不错 喜欢 拍 卖家 服务 态度 , 解决 ",0,1,1
外观 包装 泡沫 箱 包装 结实 收到 打开 破损   美观 程度 好看 一个碗 两个 形状 不大一样   隔热 效果 隔热 效果 一般般 ,0,1,-1
特别 棒 砂锅 买回来 想象 中 锅壁 厚实 做工 釉面 光滑 细腻 实物 照片 好看 满意 还会来 买 ,0,1,1
包装 完整 质量 颜色 好看 清雅 猫咪 喜欢 ,0,1,1
想要 太 纯瓷 禁不起 磕碰 感觉 ,0,0,-1
款式 简单 大方 喜欢 收到 货后 破损 货品 质量 包装 价格 经济 实惠   ,1,1,1
盘子 不错 物美价廉 物超 所及 瓷器 细腻 颜色 大小 正好 居家 常用 盘子 买 八个 盘子 八个 碗够 一家人 一段时间 ,1,1,1
漂亮 喜欢 包装 一点 破损 ,0,1,1
色彩 行 挺 好看 ,0,1,0
小巧 可爱 砂锅 煮粥 味道 好极了 炖汤 棒棒 哒 包装 很快 质量 不错 ,0,1,1
真心 好看 上档次 咖啡杯 质量 不错 放心 购买 ,0,1,1
好看 全家人 喜欢 ,0,1,0
包装 严实 卖家 服务态度 勺子 破损 疫情 原因 发 货 补 差价 物美价廉 良心 店铺 下次 回购 ,1,1,-1
大小 合适 简简单单 干干净净 耐看 ,0,1,0
杯子 很漂亮 送给 女朋友 表面 特别 光滑 割口 值得 一买 ,0,1,1
斑马 可爱 质量 不错 试烧 水 受热 关火 一会儿 锅里 水 翻滚 遇上 活动 买 划算 ,1,1,1
天呐 京东 物流 太 昨天晚上 点多 下单 一大早 收到 确实 厉害 杯子 好看 ,0,1,0
傻子 店家 问 点 我发 情绪 活该 卖不出去 ,0,0,0
碟子 厚实 手感 ,0,0,1
碗 收到 花色 漂亮 喜欢 哥哥 说 吃 两碗饭 哈哈哈 就让 好好 做饭 勺子 碎 服务态度 补发 感谢 赠送 垫子 ,0,1,-1
用料 厚实 实在 好看 一套 碗 四个 盘子 四个 勺子 四双 筷子 东西 很全 寄过来 完好无损 谱 一如既往 支持 京东 ,0,1,1
杯子 很漂亮 厚实 美观 实用 易于 清洗 喜欢 ,0,1,1
收到 盘面 细腻 光滑 ,0,0,1
说 外观 红黑 搭配 很漂亮 颜值 赞 说 感受 特意 几次 评价 材质 煲汤 煮粥 味道 鲜美 评价 说调 最小 火候 盖子 溢出 倒 情况 水 加太满 效果 不错 材质 不错 坑洼 现象 京东 送货 超快 物流 超赞 ,0,1,1
质感 上档次 容量 挺 618 活动 买 性价比 高 挺 喜欢 ,1,0,1
外观 包装 包装 严密   美观 程度 颜值 超级   商品 颜色 漂亮   顺丰快 递给 力 ,0,1,1
外观 包装 包装 严实 到货 外包装 完好无损 物品 损伤   美观 程度 漂亮 一套 配色 造型 简单 大方 装饰 花纹 美观 简约 之美 耐看 类型   瓷质 效果 质感 通透   隔热 效果 隔热 效果 炒 热菜 倒进去 一点 烫手 ,0,1,1
东西 精致 好大 箱子 价格便宜 性价比 高 东西 实用 显得 精致 碗 金色 花纹 算是 漂亮 不错 不错 不错 不错 ,1,1,1
挺 复古 陶瓷 ,0,1,0
外观 包装 包装 完整 破损   美观 程度 简单 日式 感觉   商品 敲上去 清脆 光滑 发亮   体验 摸上去 丝滑 洗 耐用 推荐 网红碗 ,0,1,1
买 碗筷 超值 超好 质量 特别 一单 一步到位 买 大碗 鱼盘 碗 菜盘 筷子 京东 自营 值得 信赖 送货 小哥 送货 特别 送货上门 ,1,0,1
砂锅 买 泥火匠 价格 优惠 还好 耐心 说 注意事项 保养 清洗 砂锅 两天 特别 适合 孩子 不错 ,1,0,0
碗 看着 不错 碗底 粗糙 硌 手 ,0,1,-1
一次性 买 款 家里 小熊 产品 这是 喜欢 风格 煲汤 小火 炖 好喝 一家 三口 吃 够 好评 ,0,1,0
